Date : 2021-09-07 23:35:47
Directory : c:\Users\syedh\OneDrive\Desktop\Antive\src
Total : 312 files,  16148 codes, 2439 comments, 1755 blanks, all 20342 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\arrow-left-2-icon.svg                                                         | XML        |          4 |          0 |          1 |          5 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\arrow-left-3-icon.svg                                                         | XML        |          1 |          0 |          1 |          2 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\arrow-right-2-icon.svg                                                        | XML        |          3 |          0 |          1 |          4 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\arrow-right-3-icon.svg                                                        | XML        |          1 |          0 |          1 |          2 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\arrow-right-icon.svg                                                          | XML        |          3 |          0 |          1 |          4 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\celebration-icon.svg                                                          | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\checkbox-circle.svg                                                           | XML        |          4 |          0 |          1 |          5 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\chef-icon.svg                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\contact-us-illustration.svg                                                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\customer-support-illustration.svg                                             | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\customize-icon.svg                                                            | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\design-illustration-2.svg                                                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\design-illustration.svg                                                       | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\dot-pattern copy.svg                                                          | XML        |          3 |          0 |          1 |          4 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\dot-pattern.svg                                                               | XML        |          3 |          0 |          1 |          4 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\email-illustration.svg                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\email-newsletter-icon.svg                                                     | XML        |          8 |          0 |          1 |          9 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\facebook-icon.svg                                                             | XML        |          3 |          0 |          1 |          4 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\fast-icon.svg                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\girl-illustration.svg                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\github-icon.svg                                                               | XML        |          9 |          0 |          1 |         10 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\handle-icon.svg                                                               | XML        |          4 |          0 |          1 |          5 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\happy-illustration.svg                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\linkedin-icon.svg                                                             | XML        |          4 |          0 |          1 |          5 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\love-illustration.svg                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\professional-illustration.svg                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\prototype-illustration.svg                                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\quotes-l.svg                                                                  | XML        |          4 |          0 |          1 |          5 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\quotes-r.svg                                                                  | XML        |          4 |          0 |          1 |          5 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\reliable-icon.svg                                                             | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\server-illustration-2.svg                                                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\server-illustration.svg                                                       | XML        |         80 |          0 |          1 |         81 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\server-redundancy-illustration.svg                                            | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\server-secure-illustration.svg                                                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\shield-icon.svg                                                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\shop-icon.svg                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\signup-illustration.svg                                                       | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\simple-icon.svg                                                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\star-icon.svg                                                                 | XML        |          3 |          0 |          1 |          4 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\stats-illustration.svg                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\support-icon.svg                                                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-1.svg                                                      | XML        |         11 |          0 |          1 |         12 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-10.svg                                                     | XML        |          6 |          0 |          1 |          7 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-2.svg                                                      | XML        |         11 |          1 |          1 |         13 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-3.svg                                                      | XML        |         11 |          0 |          1 |         12 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-4.svg                                                      | XML        |          7 |          0 |          1 |          8 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-5.svg                                                      | XML        |          7 |          0 |          1 |          8 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-6.svg                                                      | XML        |         11 |          0 |          1 |         12 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-7.svg                                                      | XML        |          7 |          0 |          1 |          8 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-8.svg                                                      | XML        |          7 |          0 |          1 |          8 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-9.svg                                                      | XML        |          7 |          0 |          1 |          8 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\team-illustration-2 copy.svg                                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\team-illustration-2.svg                                                       | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\team-illustration-3.svg                                                       | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\team-illustration.svg                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\twitter-icon.svg                                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\undraw_Online_chat_re_c4lx.svg                                                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\undraw_people_tax5.svg                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\undraw_transfer_money_rywa.svg                                                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\youtube-icon.svg                                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\misc\Buttons.js                                                                      | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\misc\Headings.js                                                                     | JavaScript |          3 |          0 |          2 |          5 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\misc\Layouts.js                                                                      | JavaScript |          6 |          0 |          2 |          8 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainTestimonials\TwoColRate+Img.js                                                                | JavaScript |        141 |          0 |         11 |        152 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\Services\index.js                                                                                  | JavaScript |        336 |         25 |         42 |        403 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\Testimonials\index.js                                                                              | JavaScript |        104 |          6 |         16 |        126 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\Arrow Right.svg                                                                                      | XML        |         10 |          0 |          1 |         11 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\Budget.svg                                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\Chat.svg                                                                                             | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\Design.svg                                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\Develope.svg                                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\HeroImage.svg                                                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\Summary.svg                                                                                          | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\Support.svg                                                                                          | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\TeamAbout.svg                                                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\TodoList.svg                                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\Vault.svg                                                                                            | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\arrow-up.svg                                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\envelope-open-solid.svg                                                                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\facebook-square-brands.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\hand.svg                                                                                             | XML        |          9 |          0 |          1 |         10 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\human.svg                                                                                            | XML        |         14 |          0 |          1 |         15 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\instagram-square-brands.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\linkedin-brands.svg                                                                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\logo.svg                                                                                             | XML        |         87 |          0 |          1 |         88 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\mobile.svg                                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\twitter-square-brands.svg                                                                            | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\waves.svg                                                                                            | XML        |          3 |          0 |          1 |          4 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\waves2.0.svg                                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\waves@0.5x.svg                                                                                       | XML        |          3 |          0 |          1 |          4 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\assets\waves@0.75x.svg                                                                                      | XML        |          3 |          0 |          1 |          4 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\components\Card\index.js                                                                                    | JavaScript |         72 |          1 |         10 |         83 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\components\FAQS\SingleCol.js                                                                                | JavaScript |        120 |          1 |          8 |        129 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\components\FAQS\misc\HeadingMisc.js                                                                         | JavaScript |          3 |          0 |          2 |          5 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\components\FAQS\misc\Layouts.js                                                                             | JavaScript |          6 |          0 |          2 |          8 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\components\FAQS\misc\Typography.js                                                                          | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\components\Footer\index.js                                                                                  | JavaScript |         70 |          1 |          5 |         76 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\components\Header\index.js                                                                                  | JavaScript |        244 |         10 |         22 |        276 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\components\ScrollToTop\index.js                                                                             | JavaScript |          0 |         68 |          8 |         76 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\components\SvgBlock\index.js                                                                                | JavaScript |         25 |          2 |          4 |         31 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\components\TextBlock\index.js                                                                               | JavaScript |         67 |          1 |         11 |         79 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\globalStyles.js                                                                                             | JavaScript |         62 |          1 |         14 |         77 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\logo.svg                                                                                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLogin\OfficialLogin.js                                                                                                  | JavaScript |        123 |          0 |         10 |        133 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLogin\OfficialLoginElements.css                                                                                         | CSS        |        266 |        600 |         35 |        901 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLogin\image\login.svg                                                                                                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLogin\toastInfo.js                                                                                                      | JavaScript |         14 |          0 |          1 |         15 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\ChakraNav\NavHoverBox.js                                                                                         | JavaScript |         39 |          0 |          1 |         40 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\ChakraNav\NavItem.js                                                                                             | JavaScript |         47 |          0 |          1 |         48 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\ChakraNav\OfficialNavChakra.js                                                                                   | JavaScript |        131 |          5 |          7 |        143 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\ChakraNav\globals.css                                                                                            | CSS        |        105 |          0 |         16 |        121 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\ChakraNav\pages\OfficialSidebar.js                                                                               | JavaScript |         13 |          0 |          3 |         16 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\OfficialNav.css                                                                                                  | CSS        |          5 |          5 |          1 |         11 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\OfficialNav.js                                                                                                   | JavaScript |        312 |         16 |         28 |        356 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\All Mail.svg                                                                                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\Forum.svg                                                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\draft.svg                                                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\home-solid.svg                                                                                            | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\important.svg                                                                                             | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\inbox.svg                                                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\logo.svg                                                                                                  | XML        |         87 |          0 |          1 |         88 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\meeting.svg                                                                                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\power-off-solid.svg                                                                                       | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\sceduled.svg                                                                                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\sent.svg                                                                                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\settings.svg                                                                                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\snooze.svg                                                                                                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\social.svg                                                                                                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\spam.svg                                                                                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\starred.svg                                                                                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialNavbar\assets\trash.svg                                                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialSignup\OfficialSignup.css                                                                                               | CSS        |        266 |         13 |         31 |        310 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialSignup\OfficialSignup.js                                                                                                | JavaScript |        111 |          0 |         11 |        122 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialSignup\image\google.svg                                                                                                 | XML        |         21 |          0 |          1 |         22 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialSignup\image\svg-signin.svg                                                                                             | XML        |         28 |          0 |          1 |         29 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\PageNotFound\NotFoundElements.js                                                                                                | JavaScript |         20 |          0 |          3 |         23 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\PageNotFound\PageNotFound.css                                                                                                   | CSS        |         43 |          0 |          7 |         50 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\PageNotFound\PageNotFound.js                                                                                                    | JavaScript |         40 |          0 |          4 |         44 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\PageResize\PageResize.css                                                                                                       | CSS        |         43 |          0 |          8 |         51 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\PageResize\PageResize.js                                                                                                        | JavaScript |         39 |          1 |          4 |         44 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\PageResize\PageResizeElements.js                                                                                                | JavaScript |         20 |          0 |          3 |         23 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\PrivacyPolicy\PrivacyPolicy.js                                                                                                  | JavaScript |        293 |          1 |         15 |        309 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\PrivacyPolicy\misc\Layouts.js                                                                                                   | JavaScript |          6 |          0 |          2 |          8 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\PrivateRoute.js                                                                                                                 | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\ResizeHeight\PageResize.css                                                                                                     | CSS        |         43 |          0 |          8 |         51 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\ResizeHeight\PageResize.js                                                                                                      | JavaScript |         27 |         16 |          4 |         47 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\ResizeHeight\PageResizeElements.js                                                                                              | JavaScript |         20 |          0 |          3 |         23 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Sidebar&Header\Header\HeaderComponent.css                                                                                       | CSS        |        121 |          8 |         23 |        152 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Sidebar&Header\Header\index.js                                                                                                  | JavaScript |        103 |          6 |         10 |        119 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Sidebar&Header\SideNavbar\SideElements.js                                                                                       | JavaScript |        187 |         16 |         22 |        225 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Sidebar&Header\SideNavbar\SideMenu.js                                                                                           | JavaScript |         33 |          0 |          6 |         39 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Sidebar&Header\SideNavbar\SideNavBar.css                                                                                        | CSS        |          5 |          1 |          2 |          8 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Sidebar&Header\SideNavbar\SidebarData.js                                                                                        | JavaScript |         37 |          9 |          4 |         50 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Sidebar&Header\SideNavbar\index.js                                                                                              | JavaScript |        160 |          6 |         14 |        180 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Signin\Form.css                                                                                                                 | CSS        |        315 |         18 |         36 |        369 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Signin\FormSignup.js                                                                                                            | JavaScript |         77 |          6 |          7 |         90 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Signin\SigninElements.js                                                                                                        | JavaScript |          4 |          0 |          1 |          5 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Signin\context\AuthContext.js                                                                                                   | JavaScript |         50 |        106 |         28 |        184 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Signin\firebase.js                                                                                                              | JavaScript |         34 |          0 |          7 |         41 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Signin\image\google.svg                                                                                                         | XML        |         21 |          0 |          1 |         22 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Signin\image\svg-signin.svg                                                                                                     | XML        |         28 |          0 |          1 |         29 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\Signin\index.js                                                                                                                 | JavaScript |         27 |          0 |          3 |         30 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\TOS\TermsOfService.js                                                                                                           | JavaScript |        812 |          1 |         22 |        835 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\TOS\misc\Layouts.js                                                                                                             | JavaScript |          6 |          0 |          2 |          8 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\UpdateProfile\UpdateElemets.js                                                                                                  | JavaScript |          9 |          0 |          2 |         11 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\UpdateProfile\image\updatePF.svg                                                                                                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\UpdateProfile\index.js                                                                                                          | JavaScript |        119 |          0 |          8 |        127 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\UpdateProfile\updatePf.js                                                                                                       | JavaScript |        117 |          1 |         15 |        133 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\UpdateProfile\updateprofile.css                                                                                                 | CSS        |        229 |         15 |         28 |        272 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\dashboardCS\DashboardCS.css                                                                                                     | CSS        |         12 |          0 |          2 |         14 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\dashboardCS\DashboardCs.js                                                                                                      | JavaScript |         12 |          0 |          3 |         15 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\index.js                                                                                                                        | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\pages\agenda.js                                                                                                                 | JavaScript |         29 |          1 |          4 |         34 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\pages\budget.css                                                                                                                | CSS        |         39 |          9 |          6 |         54 |
| c:\Users\syedh\OneDrive\Desktop\Antive\src\pages\budget.js                                                                                                                 | JavaScript |        141 |          8 |         13 |        162 |
